"統一編號","公司名稱","負責人","公司地址","資本總額","實收資本額","在境內營運資金","公司狀態","產製日期"
"06670499","百詮股份有限公司","楊O雲","高雄市新興區林森1路130巷10號","5000000","5000000"," ","核准設立","20250901035733"
"06773045","德整興業股份有限公司","陳O誠","高雄市小港區金鋁街18號","6000000","6000000"," ","核准設立","20250901035733"
"07065914","文得股份有限公司","陳O名","新北市樹林區柑園街2段363巷8號","2000000","2000000"," ","核准設立","20250901035733"
"07147916","地球綜合工業股份有限公司","鈞O投資股份有限公司","臺北市中山區復華里南京東路三段61號7樓","1200000000","751218820"," ","核准設立","20250901035733"
"07462809","潤石建設股份有限公司","陳O雲","臺北市內湖區新湖三路237號6樓","100000000","100000000"," ","核准設立","20250901035733"
"07611603","鉅和貿易有限公司","闕O富","臺北市大同區承德路3段99巷2號","66000000"," "," ","核准設立","20250901035733"
"07620672","正祥齒輪有限公司","林O樺","新北市新莊區化成路5之1號","3000000"," "," ","核准設立","20250901035733"
"07628864","漢佳國際股份有限公司","楊O佳","臺北市大同區長安西路289號10樓之5","5000000","5000000"," ","核准設立","20250901035733"
"07648897","松福工業股份有限公司","陳O雯","臺北市大同區民族西路231號2樓","5000000","5000000"," ","核准設立","20250901035733"
"07655307","鴻來企業股份有限公司","黃O穎","臺北市士林區延平北路6段477號12樓","153000000","153000000"," ","核准設立","20250901035733"
"07724424","祥億汽車貨運股份有限公司","鄭O年","新北市新莊區永安街183號","160000000","160000000"," ","核准設立","20250901035733"
"07932366","瑞晉興業股份有限公司","蔡O璋","高雄市岡山區岡山北路20號","90000000","90000000"," ","核准設立","20250901035733"
"09409719","鑫興機械工業股份有限公司","周O君","桃園市龜山區大坑里南上路457號","10000000","10000000"," ","核准設立","20250901035733"
"09488919","瑪芮國際有限公司","","新竹市北區中興里中山路40巷25-1號7F之8","5000000"," "," ","解散","20250901035733"
"11049705","山記實業股份有限公司","潘O傳","臺北市內湖區瑞光路66巷30號1、2樓","50000000","50000000"," ","核准設立","20250901035733"
"11103411","友利塑膠製品廠股份有限公司","苑O璋","臺北市北投區北投路2段13號12樓"," ","2500000"," ","核准設立","20250901035733"
"11349392","昌裕企業股份有限公司","楊O淳","臺北市大同區太原路152巷15號1樓","15000000","1000000"," ","核准設立","20250901035733"
"11455800","恒大股份有限公司","黃O慧","臺北市中山區林森北路372號10樓","1300000000","852811980"," ","核准設立","20250901035733"
"11511090","皇冠金屬工業股份有限公司","林O蓓","臺北市中山區復興南路1段2號8樓之1","109200000","109200000"," ","核准設立","20250901035733"
"11665799","隆志工業股份有限公司","楊O筑","新北市三重區自強路4段1號","207323000","207323000"," ","核准設立","20250901035733"
"11933063","緯昌有限公司","羅O湖","新北市新莊區中正路657之6號8樓","12000000"," "," ","核准設立","20250901035733"
"12105401","坤德股份有限公司","郭O政","臺北市中山區中山北路3段22號6樓","182720000","182720000"," ","核准設立","20250901035733"
"12111733","首立企業股份有限公司","吳O龍","臺中市西屯區市政北七路98號6樓之1、之2","500000000","410654280"," ","核准設立","20250901035733"
"12121768","麗嬰國際股份有限公司","李O松","臺北市內湖區南京東路6段346號5樓","150000000","150000000"," ","核准設立","20250901035733"
"12131111","惠普企業股份有限公司","孫O男","臺北市內湖區新湖三路167號4樓","319000000","319000000"," ","核准設立","20250901035733"
"12146493","合穗貿易股份有限公司","曾O雄","臺北市松山區南京東路3段248號13樓之2","19500000","19500000"," ","核准設立","20250901035733"
"12217882","浩展實業股份有限公司","呂O諭","桃園市中壢區內定二十街126巷28號","85000000","85000000"," ","核准設立","20250901035733"
"12247627","鴻源飾品有限公司","吳O清","臺北市大同區長安西路106號8樓之2","6000000"," "," ","核准設立","20250901035733"
"12266026","永詳有限公司","陳O定","新北市淡水區行忠路523號","8000000"," "," ","核准設立","20250901035733"
"12375024","統嘉工程股份有限公司","孫O達","臺北市內湖區新湖三路167號4樓","15000000","15000000"," ","核准設立","20250901035733"
"12386676","八貫企業股份有限公司","劉O熹","宜蘭縣冬山鄉大興村德興四路6號","900000000","790589020"," ","核准設立","20250901035733"
"12435655","歐樺應用材料股份有限公司","陳O煌","桃園市楊梅區三湖里楊湖路二段645號","78000000","78000000"," ","核准設立","20250901035733"
"12448390","日陽包裝實業股份有限公司","楊O源","臺北市中山區中山北路2段93巷9之4號3樓","35000000","35000000"," ","核准設立","20250901035733"
"12478957","安隆興業股份有限公司","郭O婷","臺北市中山區朱崙街17號7樓","102880000","102880000"," ","核准設立","20250901035733"
"12479359","三本國際股份有限公司","廖O泰","苗栗縣後龍鎮校椅里槺榔七街90號6樓之1","300000000","10000000"," ","核准設立","20250901035733"
"12535900","博森企業股份有限公司","簡O淦","高雄市路竹區環球路9巷205號","10000000","10000000"," ","核准設立","20250901035733"
"12600346","鍱德股份有限公司","賴O德","桃園市觀音區廣興里中山路一段280巷96號","150000000","122942730"," ","核准設立","20250901035733"
"12601324","唐翊科技股份有限公司","","臺南市安平區永華路二段二四八號廿樓之四","300000000","75000000"," ","廢止","20250901035733"
"12602061","締紘紡織股份有限公司","","桃園市桃園區春日路987之6號7樓","16000000","16000000"," ","解散","20250901035733"
"12604552","崧宇企業有限公司","蔡O佑","臺中市烏日區光明里五光路復光五巷30號1樓","2000000"," "," ","核准設立","20250901035733"
"12605638","尚文模具有限公司","","臺中市豐原區西湳里三豐路863號","5500000"," "," ","解散","20250901035733"
"12606355","年盛實業有限公司","","高雄市燕巢區瓊林里安招路八二六號","3800000"," "," ","解散","20250901035733"
"12608706","世文科技股份有限公司","鄭O哲","新北市新莊區五權一路1號3樓之5","60000000","60000000"," ","核准設立","20250901035733"
"12613638","品積股份有限公司","簡O偵","新北市樹林區東順街63號","20000000","20000000"," ","核准設立","20250901035733"
"12614545","譙茂有限公司","","新北市板橋區中山路1段158巷15之2號","3000000"," "," ","解散","20250901035733"
"12614881","保亮有限公司","","臺南市西港區後營里後營三七四號","1000000"," "," ","解散","20250901035733"
"12615312","巨益鋼模有限公司","唐O豊","新北市新莊區頭前路171號12樓","3000000"," "," ","核准設立","20250901035733"
"12616537","玖興股份有限公司","","臺中市東區建勇東街二一號一樓","1200000","1200000"," ","廢止","20250901035733"
"12617727","曜智實業股份有限公司","蕭O居","嘉義縣太保市過溝里嘉太工業區中興路11號","500000000","160000000"," ","核准設立","20250901035733"
"12618612","紳特隆有限公司","葉O殷","臺中市南區合作街5之1號1樓","500000"," "," ","核准設立","20250901035733"
"12618958","藝詩企業有限公司","","新北市三重區自強路四段三巷廿五號一樓","1000000"," "," ","廢止","20250901035733"
"12621285","信笠實業有限公司","侯O池","新北市永和區中正路522號9樓之5","1000000"," "," ","核准設立","20250901035733"
"12623024","權威鋼模有限公司","陳O欽","新北市樹林區俊安街24巷2號","1050000"," "," ","核准設立","20250901035733"
"12625206","筑麒科技股份有限公司","陳O鳳","臺中市西屯區慶和街54之6號一樓","1000000","1000000"," ","核准設立","20250901035733"
"12625281","俊馳材料科技股份有限公司","顏O輝","桃園市觀音區大潭里環南路206號","1000000000","300000000"," ","核准設立","20250901035733"
"12625466","和納塑膠工業有限公司","","新北市中和區復興路二九五號一樓","1000000"," "," ","解散","20250901035733"
"12626979","裕甡興業有限公司","","臺南市仁德區中生里七鄰中洲一四一號","5000000"," "," ","解散","20250901035733"
"12627648","週詳企業有限公司","","新北市樹林區啟智街三五號","5000000"," "," ","解散","20250901035733"
"12629765","承浦企業有限公司","歐O發","臺南市北區文元里中華北路二段80巷16號","46000000"," "," ","核准設立","20250901035733"
"12630376","駿業股份有限公司","張O慧","臺中市北屯區崇德二路一段141巷11號1樓","33000000","33000000"," ","核准設立","20250901035733"
"12631087","瑞霖環保實業有限公司","","苗栗縣苗栗市福麗里二一鄰北安街九四號","5000000"," "," ","廢止","20250901035733"
"12631093","盈展實業有限公司","陳O國","苗栗縣頭份市頭份里21鄰武昌街18號","5000000"," "," ","核准設立","20250901035733"
"12632781","友生資源再生股份有限公司","","嘉義市東區短竹里小雅路一七九號","30000000","30000000"," ","廢止","20250901035733"
"12633825","翔野企業有限公司","","新北市三重區中興北街131之2號","3000000"," "," ","解散","20250901035733"
"12634388","鈞鏵企業有限公司","","臺南市安南區安和里安和路一段一八巷二七號一樓","1000000"," "," ","解散","20250901035733"
"12634958","大目機械工業股份有限公司","胡O得","臺南市官田區二鎮里力行街2號","21570000","21570000"," ","核准設立","20250901035733"
"12635008","吉祿國際有限公司","","臺中市豐原區北陽里18鄰南陽路58巷47弄30之1號","5500000"," "," ","解散","20250901035733"
"12635817","雅林國際股份有限公司","","臺南市南區鹽埕路六八號","22000000","22000000"," ","解散","20250901035733"
"12638547","東杰宏實業有限公司","林O丹","臺中市清水區橋頭里五權東路160號1樓","1000000"," "," ","核准設立","20250901035733"
"12639102","巨百實業有限公司","","臺中市大甲區錦上街29巷26號一樓","1000000"," "," ","解散","20250901035733"
